iter	RMSE
0	79651.36398
1	79095.8753
2	78552.55692
3	77995.19023
4	77462.31186
5	76937.32247
6	76430.66744
7	75906.02672
8	75423.84952
9	74962.19156
10	74472.4229
11	73980.6874
12	73461.12153
13	73014.38404
14	72503.56641
15	72036.39135
16	71580.27823
17	71160.60495
18	70755.54214
19	70325.61062
20	69881.30304
21	69422.62607
22	68978.33484
23	68528.24866
24	68113.85299
25	67679.6025
26	67243.06165
27	66844.78625
28	66404.20395
29	66022.94351
30	65599.85019
31	65190.98407
32	64756.24036
33	64355.73186
34	63977.8223
35	63585.93917
36	63187.70678
37	62801.02184
38	62426.78199
39	62054.97598
40	61680.88563
41	61328.73748
42	60949.35915
43	60610.30571
44	60263.71043
45	59938.45192
46	59566.13901
47	59213.86893
48	58866.24064
49	58529.20344
50	58194.78658
51	57864.84406
52	57564.11966
53	57228.90905
54	56903.15044
55	56595.70009
56	56268.11255
57	55945.51668
58	55631.3534
59	55327.62462
60	55055.42517
61	54746.34729
62	54432.05809
63	54092.25023
64	53788.77655
65	53533.33796
66	53227.21361
67	52948.03416
68	52677.54353
69	52394.6225
70	52126.33357
71	51862.63234
72	51579.93367
73	51316.20356
74	51033.12452
75	50774.38955
76	50531.25521
77	50276.38794
78	50011.49006
79	49757.15798
80	49504.01016
81	49264.19944
82	49013.98486
83	48752.34163
84	48501.79292
85	48255.26446
86	48030.27217
87	47789.08607
88	47561.38179
89	47314.32933
90	47078.73708
91	46837.46013
92	46620.32386
93	46402.79845
94	46179.56564
95	45964.76059
96	45754.40034
97	45540.17915
98	45349.68165
99	45160.68824
100	44946.58034
101	44756.65109
102	44554.20898
103	44348.3626
104	44155.12866
105	43955.09661
106	43729.36413
107	43540.90316
108	43358.29486
109	43158.58273
110	42998.06495
111	42824.89055
112	42639.48295
113	42443.06193
114	42260.84968
115	42072.89077
116	41900.4994
117	41728.45388
118	41552.12075
119	41391.17981
120	41220.10435
121	41023.06271
122	40855.31228
123	40675.78005
124	40524.144
125	40357.6889
126	40184.54249
127	40016.73263
128	39836.97515
129	39675.61383
130	39525.25143
131	39368.17996
132	39218.36433
133	39059.25286
134	38877.44711
135	38749.51654
136	38600.70565
137	38457.72255
138	38332.21594
139	38188.46879
140	38039.39374
141	37881.66724
142	37757.1424
143	37608.78217
144	37492.18961
145	37339.70343
146	37206.616
147	37062.22223
148	36921.39946
149	36796.04473
150	36687.33731
151	36570.74836
152	36456.31528
153	36317.52156
154	36170.73682
155	36031.91074
156	35909.2213
157	35791.92823
