iter	Passed	Remaining
0	10	10417
1	18	9355
2	28	9360
3	38	9674
4	51	10305
5	58	9708
6	66	9399
7	71	8920
8	78	8641
9	86	8606
10	91	8249
11	98	8079
12	102	7802
13	108	7614
14	115	7552
15	120	7421
16	167	9690
17	192	10509
18	199	10286
19	204	10043
20	211	9837
21	217	9657
22	224	9527
23	231	9406
24	238	9287
25	245	9210
26	252	9082
27	257	8933
28	263	8829
29	268	8689
30	276	8628
31	284	8603
32	288	8467
33	296	8424
34	302	8327
35	307	8246
36	314	8174
37	319	8081
38	325	8015
39	332	7975
40	337	7896
41	344	7854
42	350	7792
43	355	7729
44	362	7690
45	415	8619
46	436	8855
47	446	8850
48	452	8780
49	458	8704
50	465	8655
51	474	8650
52	484	8660
53	492	8625
54	500	8592
55	508	8578
56	520	8615
57	541	8791
58	550	8779
59	559	8772
60	576	8879
61	584	8850
62	593	8822
63	601	8801
64	673	9687
65	682	9660
66	691	9629
67	699	9591
68	706	9534
69	714	9498
70	723	9460
71	731	9422
72	742	9430
73	755	9451
74	767	9465
75	775	9430
76	782	9381
77	789	9334
78	797	9296
79	821	9442
80	843	9568
81	849	9509
82	900	9953
83	917	10000
84	928	9991
85	937	9962
86	946	9936
87	953	9885
88	963	9858
89	974	9853
90	981	9807
91	990	9779
92	1006	9812
93	1015	9791
94	1044	9954
95	1079	10166
96	1159	10796
97	1178	10846
98	1244	11323
99	1259	11336
100	1277	11373
101	1302	11465
102	1328	11572
103	1380	11892
104	1404	11968
105	1456	12281
106	1495	12477
107	1532	12659
108	1651	13500
109	1744	14112
110	1765	14139
111	1831	14521
112	1845	14483
113	1972	15332
114	1992	15329
115	2008	15305
116	2048	15459
117	2067	15451
118	2170	16071
119	2189	16054
120	2249	16340
121	2266	16311
122	2327	16596
123	2349	16600
124	2475	17328
125	2496	17316
126	2588	17793
127	2664	18152
128	2693	18183
129	2710	18142
130	2776	18421
131	2792	18362
132	2896	18882
133	2915	18838
134	2940	18840
135	2966	18849
136	2984	18800
137	3000	18742
138	3012	18659
139	3022	18567
140	3031	18469
141	3047	18413
142	3055	18309
143	3101	18435
144	3112	18352
145	3120	18251
146	3126	18144
147	3132	18031
148	3138	17925
149	3145	17823
150	3152	17726
151	3160	17634
152	3169	17546
153	3177	17452
154	3186	17369
155	3194	17282
156	3207	17222
157	3219	17158
158	3228	17079
159	3237	16997
160	3245	16914
161	3256	16843
162	3265	16767
163	3274	16689
164	3283	16615
165	3291	16536
166	3344	16684
167	3387	16775
168	3400	16721
169	3412	16660
170	3422	16591
171	3438	16553
172	3452	16504
173	3464	16446
174	3472	16368
175	3479	16289
176	3487	16214
177	3498	16157
178	3509	16098
179	3515	16014
180	3523	15943
181	3528	15860
182	3535	15784
183	3543	15714
184	3607	15891
185	3618	15836
186	3627	15771
187	3635	15701
188	3644	15639
189	3655	15583
190	3662	15513
191	3684	15503
192	3690	15432
193	3704	15392
194	3717	15345
195	3724	15279
196	3740	15244
197	3754	15206
198	3782	15223
199	3842	15370
200	3880	15423
201	3887	15357
202	3901	15316
203	3914	15272
204	3922	15209
205	3930	15151
206	3938	15089
207	3950	15041
208	3963	14999
209	3974	14949
210	3981	14888
211	3989	14830
212	4003	14791
213	4011	14734
214	4019	14676
215	4028	14622
216	4071	14690
217	4083	14647
218	4091	14592
219	4098	14532
220	4106	14474
221	4111	14410
222	4118	14348
223	4124	14289
224	4131	14230
225	4136	14166
226	4143	14109
227	4151	14057
228	4164	14021
229	4169	13959
230	4177	13907
231	4195	13887
232	4202	13834
233	4208	13778
234	4215	13723
235	4222	13670
236	4227	13609
237	4232	13551
238	4239	13498
239	4245	13444
240	4249	13384
241	4257	13335
242	4309	13424
243	4322	13392
244	4327	13336
245	4333	13282
246	4339	13230
247	4346	13179
248	4360	13150
249	4371	13115
250	4385	13087
251	4395	13045
252	4402	12998
253	4409	12950
254	4415	12900
255	4420	12848
256	4427	12799
257	4433	12751
258	4439	12700
259	4444	12649
260	4450	12602
261	4456	12551
262	4461	12502
263	4469	12461
264	4476	12417
265	4482	12369
266	4488	12322
267	4493	12273
268	4500	12229
269	4552	12307
270	4574	12305
271	4582	12263
272	4588	12218
273	4594	12174
274	4599	12124
275	4604	12078
276	4612	12038
277	4616	11990
278	4622	11946
279	4629	11904
280	4636	11863
281	4646	11829
282	4652	11788
283	4660	11748
284	4667	11709
285	4675	11671
286	4680	11627
287	4686	11585
288	4692	11544
289	4697	11501
290	4703	11459
291	4713	11428
292	4723	11396
293	4729	11356
